crate	loc	files	decorative_hits	test_count	pub_fn_count	classification
Omnisystem/src/crates/event-sourcing	335	5	0	0	2	real-or-minimal
Omnisystem/src/crates/complex-event-processing	463	5	0	0	2	real-or-minimal
Omnisystem/src/crates/backup-manager	361	5	0	0	2	real-or-minimal
Omnisystem/src/crates/threat-detection	406	5	0	0	2	real-or-minimal
Omnisystem/src/crates/experiment-tracking	391	5	0	0	3	real-or-minimal
Omnisystem/src/crates/ml-pipeline-orchestration	504	5	0	0	2	real-or-minimal
Omnisystem/src/crates/audit-logging	504	6	0	0	4	real-or-minimal
Omnisystem/src/crates/replication-manager	407	5	0	0	3	real-or-minimal
Omnisystem/src/crates/bedf-enhancements	229	4	0	4	5	real-or-minimal
Omnisystem/src/crates/network-policies	402	5	0	0	2	real-or-minimal
Omnisystem/src/crates/omnisystem-submodule	621	7	0	7	8	real-or-minimal
Omnisystem/src/crates/bat	390	6	0	8	6	real-or-minimal
Omnisystem/src/crates/traffic-management	412	5	0	0	2	real-or-minimal
Omnisystem/src/crates/storage-backend	396	5	0	0	2	real-or-minimal
Omnisystem/src/crates/buir	396	8	0	8	7	real-or-minimal
Omnisystem/src/crates/tui	2999	29	0	22	26	real-or-minimal
